Wall time,time/total_timesteps,eval/mean_reward
1670926729.74091,215499,261.547210693359
1670926825.93628,217999,57.6298561096191
1670926845.25649,218499,98.5328521728516
1670926864.34006,218999,274.362243652344
1670926901.34887,219999,200.699340820312
1670926920.10363,220499,329.238616943359
1670926939.49293,220999,244.460693359375
1670926977.98266,221999,337.592163085937
1670926996.90517,222499,277.9375
1670927015.56536,222999,89.8067932128906
1670927034.50952,223499,477.831695556641
1670927111.55343,225499,134.513961791992
1670927149.44408,226499,56.6493377685547
1670927168.07168,226999,114.596618652344
1670927187.07874,227499,139.893310546875
1670927224.3442,228499,109.206665039063
1670927297.95141,230499,183.116119384766
1670927316.92454,230999,369.281066894531
1670927393.66997,232999,188.850326538086
1670927412.00498,233499,131.04866027832
1670927450.135,234499,70.7376708984375
1670927488.12055,235499,319.499176025391
1670927563.52142,237499,302.514495849609
1670927582.67354,237999,133.930633544922
1670927640.26987,239499,161.182647705078
1670927659.37196,239999,237.508087158203
1670927678.32004,240499,144.131790161133
1670927697.35156,240999,201.400115966797
1670927735.60927,241999,279.270324707031
1670927754.63042,242499,71.4749603271484
1670927812.03197,243999,85.51171875
1670927831.47604,244499,75.9590835571289
1670927850.62301,244999,103.398628234863
1670927889.04933,245999,350.200592041016
1670927946.48914,247499,195.085571289063
1670928022.9159,249499,114.543754577637
1670928098.47008,251499,80.7032699584961
1670928117.55812,251999,160.395950317383
1670928175.02217,253499,233.212738037109
1670928231.71877,254999,154.722274780273
1670928250.79225,255499,143.837127685547
1670928269.45636,255999,196.325592041016
1670928288.32371,256499,476.116943359375
1670928306.95133,256999,267.9736328125
1670928326.00173,257499,194.624633789062
1670928382.73498,258999,379.513397216797
1670928401.66937,259499,163.259216308594
1670928420.6804,259999,281.451843261719
1670928439.77529,260499,323.245239257812
1670928496.8418,261999,221.778121948242
1670928629.90543,265499,345.317016601562
1670928687.49187,266999,101.193382263184
1670928706.15913,267499,89.4631652832031
1670928744.77896,268499,456.347045898437
1670928763.92962,268999,258.114105224609
1670928782.9636,269499,425.610137939453
1670928820.53392,270499,472.879608154297
1670928859.09443,271499,155.451171875
1670928898.11218,272499,117.361198425293
1670928935.40084,273499,411.361633300781
1670928954.59995,273999,289.368133544922
1670929012.00514,275499,90.463264465332
1670929050.24524,276499,96.6136169433594
1670929107.58059,277999,202.904357910156
1670929126.6941,278499,268.595947265625
1670929241.25407,281499,379.261383056641
1670929260.35175,281999,197.241088867188
1670929279.17752,282499,208.010757446289
1670929354.27358,284499,161.840789794922
1670929411.67163,285999,303.987213134766
1670929448.85052,286999,113.339416503906
1670929504.433,288499,88.189208984375
1670929580.30024,290499,268.679901123047
1670929655.50983,292499,241.096572875977
1670929674.73795,292999,397.57373046875
1670929694.09975,293499,128.046157836914
1670929731.47038,294499,453.144836425781
1670929769.7482,295499,315
1670929788.9737,295999,421.254028320313
1670929808.21863,296499,164.004180908203
1670929846.4014,297499,440.841613769531
1670929884.23801,298499,218.398040771484
1670929903.42442,298999,270.366577148437
1670929922.29079,299499,369.955444335937
1670929941.68488,299999,153.262481689453
1670929998.85809,301499,420.80029296875
1670930018.09869,301999,152.567031860352
1670930112.68885,304499,174.596649169922
1670930150.89793,305499,340.867126464844
1670930207.9451,306999,169.980239868164
1670930227.27355,307499,229.205093383789
1670930265.34989,308499,52.0396690368652
1670930303.49565,309499,135.085540771484
1670930341.54435,310499,411.318908691406
1670930379.95007,311499,315.147613525391
1670930399.22536,311999,157.682968139648
1670930455.23045,313499,251.210174560547
1670930493.32681,314499,286.038970947266
1670930512.26233,314999,60.3352890014648
1670930589.09562,316999,186.524871826172
1670930665.82561,318999,315.685668945313
1670930723.52825,320499,459.704559326172
1670930742.69091,320999,99.3606643676758
1670930761.50157,321499,179.120971679688
1670930780.68953,321999,363.333099365234
1670930799.62466,322499,295.905090332031
1670930895.12269,324999,316.905517578125
1670930933.25035,325999,68.6046752929687
1670930952.39977,326499,307.347106933594
1670930971.3689,326999,474.386199951172
1670930990.04057,327499,257.577331542969
1670931009.03073,327999,224
1670931065.75769,329499,84.2347030639649
1670931103.58938,330499,114.061164855957
1670931236.99806,333999,177.122543334961
1670931294.1184,335499,175.392807006836
1670931390.25015,337999,365.0361328125
1670931408.52128,338499,71.5329437255859
1670931427.16897,338999,287.266326904297
1670931484.67676,340499,114.853828430176
1670931523.033,341499,298.810943603516
1670931541.92248,341999,315.823699951172
1670931560.94453,342499,227.890853881836
1670931618.23981,343999,79.7317199707031
1670931713.33675,346499,102.468223571777
1670931751.2458,347499,45.0358085632324
1670931789.07758,348499,142.765884399414
1670931808.1491,348999,298.500671386719
1670931846.70365,349999,307.75390625
1670931903.32619,351499,226.780487060547
1670931922.21669,351999,110.089813232422
1670931960.44714,352999,429.403778076172
1670932037.51298,354999,202.285919189453
1670932056.76506,355499,330.803863525391
1670932094.27721,356499,75.5989227294922
1670932152.34529,357999,406.389221191406
1670932191.86052,358999,126.127708435059
1670932251.46882,360499,452.973968505859
1670932271.17818,360999,219.262603759766
1670932310.8558,361999,431.413360595703
1670932350.37695,362999,159.739715576172
1670932369.88871,363499,165.960906982422
1670932409.0484,364499,341.304656982422
1670932428.59388,364999,123.498184204102
1670932467.52227,365999,297.019226074219
1670932486.61358,366499,136.879577636719
1670932505.61422,366999,233.806396484375
1670932599.95388,369499,134.103317260742
1670932676.32533,371499,472.731231689453
1670932695.47849,371999,479.135040283203
1670932714.61824,372499,303.779266357422
1670932940.80103,378499,118.62858581543
1670932978.73509,379499,267.430541992187
1670933093.6694,382499,140.582931518555
1670933112.3369,382999,474.705749511719
1670933168.74587,384499,76.1335830688477
1670933187.87736,384999,256.134613037109
1670933244.81567,386499,343.655731201172
1670933301.57115,387999,63.0836868286133
1670933320.67365,388499,53.9364051818848
1670933358.95883,389499,207.118499755859
1670933378.11038,389999,175.737197875977
1670933397.22068,390499,475.121032714844
1670933416.06701,390999,108.310241699219
1670933435.2701,391499,286.282806396484
1670933550.12332,394499,472.566284179688
1670933607.02658,395999,91.7938537597656
1670933760.58091,399999,165.371170043945
1670933856.3565,402499,255.158447265625
1670933875.51059,402999,115.041816711426
1670933894.83169,403499,93.7193222045898
1670933914.14496,403999,333.581420898438
1670933972.07592,405499,4.55859470367432
1670934124.43543,409499,0.382016032934189
1670934143.96625,409999,107.097633361816
1670934295.70954,413999,341.7802734375
1670934315.09008,414499,2.59277939796448
1670934392.46184,416499,37.3489303588867
1670934412.17397,416999,85.2823638916016
1670934451.26568,417999,80.8578872680664
1670934470.7,418499,38.0291442871094
1670934490.27511,418999,17.8890495300293
1670934529.62133,419999,12.4108104705811
1670934549.08402,420499,54.6200866699219
1670934607.42071,421999,80.0562133789063
1670934646.54346,422999,111.98543548584
1670934741.38056,425499,190.020141601563
1670934760.17295,425999,50.7488021850586
1670934816.92455,427499,87.8417587280273
1670934875.0746,428999,87.1812744140625
1670934933.96626,430499,87.2290725708008
1670934973.36182,431499,62.8050765991211
1670935031.60644,432999,318.076477050781
1670935050.74095,433499,135.387939453125
1670935127.01721,435499,42.0766792297363
1670935146.17731,435999,218.824920654297
1670935393.10002,442499,140.462219238281
1670935412.1592,442999,141.926086425781
1670935431.27088,443499,308.907165527344
1670935507.07312,445499,263.370880126953
1670935545.32761,446499,96.8161773681641
1670935602.29733,447999,48.2961654663086
1670935639.91386,448999,304.637908935547
1670935658.97084,449499,389.9033203125
1670935716.26964,450999,79.5918045043945
1670935735.11809,451499,80.310905456543
1670935773.12906,452499,140.624603271484
1670935830.62548,453999,84.7577056884766
1670935849.3674,454499,95.911979675293
1670935887.83402,455499,342.234344482422
1670935906.8716,455999,63.6242942810059
1670935963.89861,457499,125.52759552002
1670936038.98499,459499,287.962493896484
1670936058.26654,459999,178.5595703125
1670936095.78678,460999,276.636688232422
1670936133.76585,461999,167.555801391602
1670936209.36837,463999,401.756134033203
1670936228.42918,464499,265.810333251953
1670936267.0533,465499,127.192970275879
1670936286.13803,465999,128.918792724609
1670936305.23208,466499,110.179901123047
1670936324.4089,466999,130.685775756836
1670936362.02907,467999,285.960784912109
1670936438.2925,469999,108.21989440918
1670936476.82479,470999,402.696014404297
1670936495.85646,471499,120.407752990723
1670936552.82409,472999,124.500839233398
1670936629.31894,474999,266.197601318359
1670936687.21461,476499,140.292495727539
1670936744.43761,477999,426.667785644531
1670936763.41854,478499,112.976196289063
1670936839.73054,480499,444.213897705078
1670936878.05414,481499,186.628280639648
1670936897.22488,481999,113.192123413086
1670936935.06101,482999,397.479888916016
1670936973.46993,483999,80.2259521484375
1670936992.58421,484499,96.4645614624024
1670937050.2487,485999,81.4845428466797
1670937146.89125,488499,376.913330078125
1670937184.82017,489499,95.4451904296875
1670937203.92595,489999,232.035034179688
1670937261.13087,491499,295.840454101562
1670937338.02199,493499,60.8296890258789
1670937413.46976,495499,291.375823974609
1670937451.75772,496499,112.39656829834
1670937489.36884,497499,225.437591552734
1670937527.28105,498499,194.514083862305
1670937564.91426,499499,423.497283935547
1670937584.01353,499999,106.89013671875
1670937640.87721,501499,148.059265136719
1670937659.98508,501999,89.9254989624023
1670937678.94602,502499,32.1181449890137
1670937715.96172,503499,141.523818969727
1670937811.30957,505999,317.13623046875
1670937849.61277,506999,126.572929382324
1670937887.94067,507999,109.196929931641
1670937925.45624,508999,115.734794616699
1670938021.35598,511499,441.359283447266
1670938097.38036,513499,184.588562011719
1670938135.65836,514499,109.460914611816
1670938154.70752,514999,62.6881408691406
1670938269.53238,517999,262.365051269531
1670938288.70916,518499,344.987762451172
1670938307.86938,518999,37.4382209777832
1670938327.00071,519499,141.182495117188
1670938345.76904,519999,206.590591430664
1670938422.20808,521999,195.066452026367
1670938479.11189,523499,215.377838134766
1670938593.51592,526499,70.6871185302734
1670938612.31299,526999,71.4982833862305
1670938670.34119,528499,55.5108337402344
1670938708.74007,529499,296.855987548828
1670938727.88343,529999,101.930358886719
1670938747.11483,530499,241.974731445312
1670938784.89186,531499,178.17724609375
1670938841.55072,532999,19.2331504821777
1670938879.68633,533999,368.487762451172
1670938917.91522,534999,419.219360351562
1670938936.48373,535499,198.192947387695
1670938955.46511,535999,274.091094970703
1670938974.17337,536499,357.984649658203
1670938993.23214,536999,341.669708251953
1670939012.19725,537499,122.612884521484
1670939069.3496,538999,222.849822998047
1670939088.28374,539499,103.947303771973
1670939126.85374,540499,445.147247314453
1670939145.9801,540999,167.077819824219
1670939164.91839,541499,78.766975402832
1670939221.3607,542999,91.4747695922852
1670939239.79723,543499,102.041549682617
1670939258.85811,543999,62.8459320068359
1670939334.90878,545999,138.701110839844
1670939468.93076,549499,76.0589294433594
1670939507.05306,550499,225.085403442383
1670939545.50959,551499,129.813842773438
1670939564.13043,551999,313.785095214844
1670939582.69399,552499,92.2971801757813
1670939640.55452,553999,342.000549316406
1670939679.02391,554999,340.623840332031
1670939716.83321,555999,64.9738159179688
1670939735.79263,556499,187.623962402344
1670939773.83567,557499,102.048049926758
1670939870.34592,559999,378.228668212891
1670939908.59122,560999,58.5427398681641
1670939928.32207,561499,449.094146728516
1670939987.10875,562999,205.357894897461
1670940006.85273,563499,479.824432373047
1670940046.26905,564499,421.873504638672
1670940065.86274,564999,52.8516807556152
1670940104.05014,565999,397.835571289062
1670940123.17799,566499,207.824783325195
1670940161.35729,567499,33.9266700744629
1670940180.54514,567999,397.263244628906
1670940199.80937,568499,185.786437988281
1670940256.89139,569999,477.585815429688
1670940313.84805,571499,364.635498046875
1670940390.37055,573499,114.95915222168
1670940428.87735,574499,475.505584716797
1670940466.16075,575499,79.0283126831055
1670940485.90513,575999,457.902648925781
1670940505.64404,576499,170.136962890625
1670940525.40982,576999,456.845489501953
1670940662.45686,580499,297.285369873047
1670940701.38911,581499,203.372543334961
1670940740.61637,582499,111.376663208008
1670940798.06372,583999,467.688049316406
1670940913.78985,586999,195.824630737305
1670940932.78628,587499,60.4368019104004
1670940970.59757,588499,97.1236877441406
1670940989.16389,588999,376.799713134766
1670941008.29389,589499,226.749496459961
1670941084.8176,591499,159.216491699219
1670941122.3728,592499,113.728248596191
1670941160.54207,593499,225.116165161133
1670941198.78558,594499,132.424301147461
1670941218.05566,594999,396.103881835938
1670941237.24944,595499,379.373321533203
1670941294.75419,596999,157.469741821289
1670941313.92256,597499,400.860534667969
1670941332.77316,597999,383.044097900391
1670941370.2342,598999,296.181945800781
1670941388.87666,599499,230.2978515625
1670941446.48003,600999,477.538543701172
1670941523.27368,602999,106.697135925293
1670941542.59356,603499,403.043395996094
1670941561.7992,603999,200.958435058594
1670941600.18649,604999,190.515975952148
1670941676.52042,606999,124.731239318848
1670941695.47053,607499,473.504699707031
1670941772.29528,609499,345.996795654297
1670941867.98886,611999,102.31462097168
1670941906.18051,612999,86.3643569946289
1670941982.16297,614999,283.078125
1670942039.9905,616499,459.305816650391
1670942059.06514,616999,383.193420410156
1670942154.6645,619499,380.267639160156
