train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
-1.0425498485565186,0.5355402,500.0,-44.15203857421875,48399,0.0003,0.8232061862945557,48500,0.02062995731830597,,,,,
-0.008370935916900635,3.8048804000000005,500.0,-43.487693786621094,48899,0.0003,0.9366369247436523,49000,0.020318729802966118,,,,,
-2.8218021392822266,0.7456622,500.0,-44.24711227416992,49399,0.0003,0.7346493005752563,49500,0.019909780472517014,,,,,
0.534610390663147,2.5144328,500.0,-42.513153076171875,49899,0.0003,0.9082152843475342,50000,0.019537892192602158,,,,,
,,,,,,,50000,,11,4332,500.0,2.84777757,100
0.7974672913551331,2.3718652,500.0,-42.800907135009766,50399,0.0003,0.8541945219039917,50500,0.018999475985765457,,,,,
0.3635619878768921,4.0690744,500.0,-43.60511779785156,50899,0.0003,0.852744460105896,51000,0.019091805443167686,,,,,
-2.163458824157715,3.6702688,500.0,-42.40972900390625,51399,0.0003,0.7761347889900208,51500,0.018848786130547523,,,,,
-0.15567827224731445,3.2695024000000004,500.0,-41.951934814453125,51899,0.0003,0.7890952825546265,52000,0.018859393894672394,,,,,
,,,,,,,52000,,11,4501,500.0,2.7415729499999997,104
-1.3415241241455078,2.5028272,500.0,-41.799957275390625,52399,0.0003,0.6628226637840271,52500,0.01853344216942787,,,,,
-0.8983260989189148,5.4569126,500.0,-41.932861328125,52899,0.0003,4.866988182067871,53000,0.018427256494760513,,,,,
1.6309419870376587,6.834770400000001,500.0,-40.39427185058594,53399,0.0003,2.5615878105163574,53500,0.01793060265481472,,,,,
-3.922034978866577,2.2216806,500.0,-40.14952850341797,53899,0.0003,0.7990601658821106,54000,0.017538154497742653,,,,,
,,,,,,,54000,,11,4672,500.0,2.55031949,108
-0.8202144503593445,2.2478173999999997,500.0,-40.74861145019531,54399,0.0003,0.968843936920166,54500,0.01716100051999092,,,,,
0.7834036350250244,3.8350362,500.0,-40.70021438598633,54899,0.0003,1.151564121246338,55000,0.01671276055276394,,,,,
-1.2394460439682007,6.4152356,500.0,-39.609745025634766,55399,0.0003,8.007580757141113,55500,0.01656767539680004,,,,,
2.0207390785217285,5.395830999999999,500.0,-39.39973831176758,55899,0.0003,0.7647929787635803,56000,0.016438737511634827,,,,,
