time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
28000,500.0,27899,-0.5751225352287292,0.0003,-40.30207061767578,0.9722552,0.019074056297540665,0.4079072177410126,,,,,
28000,,,,,,,,,2.437656071428571,56,11,2477,500.0
28500,500.0,28399,2.029449939727783,0.0003,-39.702117919921875,0.12468580000000003,0.01891690120100975,0.5874320268630981,,,,,
29000,500.0,28899,-1.1712790727615356,0.0003,-39.92009735107422,0.6744403999999999,0.018746061250567436,0.664597749710083,,,,,
29500,500.0,29399,-1.7686564922332764,0.0003,-39.87209701538086,0.4038494,0.01863631047308445,0.49818021059036255,,,,,
30000,500.0,29899,0.3470672369003296,0.0003,-38.44236755371094,0.3109392,0.018064891919493675,0.5822377800941467,,,,,
30000,,,,,,,,,2.3287350666666664,60,11,2652,500.0
30500,500.0,30399,0.5363063216209412,0.0003,-38.85371780395508,1.7204726000000001,0.01773473061621189,0.3770451545715332,,,,,
31000,500.0,30899,-2.4435343742370605,0.0003,-38.65812301635742,0.938057,0.01735764369368553,1.0126451253890991,,,,,
31500,500.0,31399,0.10413241386413574,0.0003,-38.21703338623047,0.524241,0.017447253689169884,0.4884703457355499,,,,,
32000,500.0,31899,-3.031932830810547,0.0003,-38.52073669433594,0.3525506,0.0176349189132452,0.6090006232261658,,,,,
32000,,,,,,,,,2.276597625,64,11,2827,500.0
32500,500.0,32399,-0.7428267002105713,0.0003,-37.45163345336914,0.8059695999999998,0.01716109737753868,2.9549407958984375,,,,,
33000,500.0,32899,-0.7294549345970154,0.0003,-36.885467529296875,0.698875,0.016859332099556923,1.7272382974624634,,,,,
33500,500.0,33399,3.387573719024658,0.0003,-37.35926818847656,0.5239776,0.01671590842306614,0.5792996287345886,,,,,
34000,500.0,33899,-1.4497758150100708,0.0003,-36.939109802246094,0.5219518,0.016732463613152504,0.41275519132614136,,,,,
34000,,,,,,,,,2.511158735294117,68,11,3004,500.0
34500,500.0,34399,-1.7481865882873535,0.0003,-36.587860107421875,0.7598494,0.01614590734243393,0.8139932155609131,,,,,
35000,500.0,34899,-0.33933669328689575,0.0003,-36.17325973510742,2.0146768,0.015734931454062462,0.870700478553772,,,,,
35500,500.0,35399,-2.4296774864196777,0.0003,-35.94194412231445,1.5028480000000002,0.01575312204658985,0.41700348258018494,,,,,
36000,500.0,35899,0.6815192103385925,0.0003,-35.5064697265625,1.1744052,0.015510207042098045,0.4614771902561188,,,,,
36000,,,,,,,,,2.473705083333334,72,11,3178,500.0
36500,500.0,36399,2.9131128787994385,0.0003,-35.19099044799805,2.5069121999999995,0.015425926074385643,0.4520666003227234,,,,,
37000,500.0,36899,-0.11266744136810303,0.0003,-33.93159866333008,2.8986928,0.015330641530454159,1.6543512344360352,,,,,
37500,500.0,37399,2.130862236022949,0.0003,-34.315765380859375,1.7061382000000003,0.015455862507224083,7.418625831604004,,,,,
